Name;Seconds;AlbumId
Samba Da Bênção;410;52
Pot-Pourri N.º 4;392;52
Onde Anda Você;168;52
Samba Da Volta;171;52
Canto De Ossanha;205;52
Pot-Pourri N.º 5;220;52
Formosa;137;52
Como É Duro Trabalhar;226;52
Minha Namorada;244;52
Por Que Será;162;52
Berimbau;191;52
Deixa;180;52
Pot-Pourri N.º 2;212;52
Samba Em Prelúdio;213;52
Carta Ao Tom 74;163;52
Linha de Passe (João Bosco);231;53
Pela Luz dos Olhos Teus (Miúcha e Tom Jobim);164;53
Chão de Giz (Elba Ramalho);275;53
Marina (Dorival Caymmi);173;53
Aquarela (Toquinho);260;53
Coração do Agreste (Fafá de Belém);258;53
Dona (Roupa Nova);243;53
Começaria Tudo Outra Vez (Maria Creuza);207;53
Caçador de Mim (Sá & Guarabyra);238;53
Romaria (Renato Teixeira);245;53
As Rosas Não Falam (Beth Carvalho);117;53
Wave (Os Cariocas);130;53
Garota de Ipanema (Dick Farney);174;53
Preciso Apender a Viver Só (Maysa);143;53
Susie Q;276;54
I Put A Spell On You;272;54
Proud Mary;189;54
Bad Moon Rising;140;54
Lodi;191;54
Green River;154;54
Commotion;163;54
Down On The Corner;165;54
Fortunate Son;140;54
Travelin' Band;129;54
Who'll Stop The Rain;149;54
Up Around The Bend;162;54
Run Through The Jungle;186;54
Lookin' Out My Back Door;153;54
Long As I Can See The Light;213;54
I Heard It Through The Grapevine;665;54
Have You Ever Seen The Rain?;160;54
Hey Tonight;163;54
Sweet Hitch-Hiker;175;54
Someday Never Comes;239;54
Walking On The Water;281;55
Suzie-Q, Pt. 2;244;55
Born On The Bayou;317;55
Good Golly Miss Molly;164;55
Tombstone Shadow;219;55
Wrote A Song For Everyone;296;55
Night Time Is The Right Time;190;55
Cotton Fields;178;55
It Came Out Of The Sky;177;55
Don't Look Now;132;55
The Midnight Special;254;55
Before You Accuse Me;208;55
My Baby Left Me;140;55
Pagan Baby;386;55
(Wish I Could) Hideaway;228;55
It's Just A Thought;237;55
Molina;163;55
Born To Move;343;55
Lookin' For A Reason;210;55
Hello Mary Lou;133;55
Gatas Extraordinárias;213;56
Brasil;244;56
Eu Sou Neguinha (Ao Vivo);252;56
Geração Coca-Cola (Ao Vivo);228;56
